lead,co_lead,organisation,title,year,abstract,keywords,type,status,id,Org-Swiss Tropical and Public Health Institute,Org-Faculty of Science,Org-Faculty of Medicine,Org-Faculty of Psychology,Org-Faculty of Business and Economics,Org-Institute for Biomedical Ethics,Org-Faculty of Humanties and Social Sciences,Org-Friedrich Miescher Institute for Biomedical Research,Org-Faculty of Law,Org-Center for Philantropy Studies,Org-Institute of Molecular and Clinical Ophthalmology Basel,Org-Institute for European Global Studies,Org-Faculty of Theology,Org-Institute for Educational Sciences,Org-Swisspeace,Org-Basel Institute on Governance,doc_id,SDG-01-Aurora,SDG-02-Aurora,SDG-03-Aurora,SDG-04-Aurora,SDG-05-Aurora,SDG-06-Aurora,SDG-07-Aurora,SDG-08-Aurora,SDG-09-Aurora,SDG-10-Aurora,SDG-11-Aurora,SDG-12-Aurora,SDG-13-Aurora,SDG-14-Aurora,SDG-15-Aurora,SDG-16-Aurora,SDG-17-Aurora,SDG-01-Elsevier,SDG-02-Elsevier,SDG-03-Elsevier,SDG-04-Elsevier,SDG-05-Elsevier,SDG-06-Elsevier,SDG-07-Elsevier,SDG-08-Elsevier,SDG-09-Elsevier,SDG-10-Elsevier,SDG-11-Elsevier,SDG-12-Elsevier,SDG-13-Elsevier,SDG-14-Elsevier,SDG-15-Elsevier,SDG-16-Elsevier
"Gloster, Andrew",NA,Departement Psychologie / Clinical Psychology and Intervention Science (Gloster),Effects of Psychological Flexibility in Social Context: A Multi-Level Approach,2016,"The social context has a large impact on the health and well-being of people and groups alike. The importance of social contexts is also clinically relevant, where contexts outside the clinic, including social processes, are believed to account for approximately 33% of improvement in patients undergoing psychotherapy. Despite this, research is lacking on how to use social factors to improve the efficacy of psychotherapy and increase well-being and functioning of groups. This research will examine the impact of social context on change and in turn the impact of change on the social context. Towards this goal, we will examine whether the same social factors are relevant for patients and non-clinically seeking dyads. In particular, a theoretical framework and intervention called psychological flexibility will be used to test a) whether outcomes of psychotherapy can be increased, including long-term outcomes when patients are supported and/or challenged by their social context, and b) whether psychological flexibility can also increase indices of well-being within dyads.","Social Context, Acceptance & Commitment Therapy, Psychological Flexibility, Treatment Effectiveness, EMA, Psychotherapy, Dyads, Well-being, Long-term outcome",external_funding,Completed,3440879,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Braun, Thomas","Meyer, Ernst",Departement Biozentrum / Structural Biology (Stahlberg),Nanomechanical mass and viscosity measurement platform for cell imaging,2016,"During recent years we developed a real-time nanomechanical sensing platform to measure liquid viscosities and fluid densities based on cantilever technology, decreasing time and user interaction required for such measurements. It features (i) a droplet-generating automatic sampler for two-phase microfluidics producing microliter sample plugs, (ii) a microfluidic measurement cell containing the microcantilever sensors, (iii) dual phase-locked loop frequency tracking of a higher-mode resonance to achieve millisecond time resolution, and (iv) signal processing to extract the resonance parameters, namely the eigenfrequency and quality factor. By applying a hydrodynamic model, viscosity and density of the small liquid droplets can be measured with high temporal resolution. The platform uses an optical actuation and read-out system, which mechanically separates the transducer platform from the measurement chamber. We now will exchange the cantilevers with fully clamped Si3N4-windows. By using such a membrane-resonator at different vibrational modes, it will be possible to calculate the mass and viscosity distribution on the membrane surface. Such a platform can be used for the imaging of cell growth.",NA,external_funding,Completed,3459135,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Perez, Camilo",NA,Departement Biozentrum / Structural Biology & Biophysics,Structure and mechanism of the cell wall biogenesis machinery from Gram-positive pathogenic bacteria,2016,"Bacterial infections represent a major public health problem of broad concern, augmented by increasing occurrence of strains resistant to antibacterial agents. In order to develop new chemotherapeutic strategies to overcome infections, it is necessary to understand fundamental processes relevant for bacterial survival in detail.  The cell wall is an antibacterial target  The bacterial cell wall exerts important protective functions against host defenses and antibiotics; its biogenesis is a preferred target for the development of antibacterial agents because it includes several essential pathways for virulence and survival. Despite its great importance, structural, mechanistic and fundamental biochemical aspects of many proteins participating in its biosynthesis are scarce.  Mechanistic basis of cell wall biogenesis  Our research combines in vitro and in vivo activity assays, together with high-resolution structures of membrane proteins important for several cell wall biochemical pathways, with the aim to provide an understanding of their molecular mechanisms and describe potential modes of activity modulation and inhibition.   ",NA,external_funding,Active,3768291,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Förster, Till","Herz, Manuel","Departement Gesellschaftswissenschaften / Visuelle und politische Ethnologie (Förster); Departement Gesellschaftswissenschaften / Architectural, Urban, and Territorial Design (Herz)","Making the City: Agency, Urbanity and Urbanisation in Ordinary Cities",2016,"Current research on urbanisation in the Global South lingers between complaints about the ungovernability of mushrooming cities and the appraisal of urban inventiveness. Comparative approaches that consider and reflect both the agency of the actors and the city as a structured setting are still rare and almost non-existent in urban anthropology. This project aims at over-coming this impasse by comparatively looking at actors and their agency in four cities. It asks: How do urbanites make their cities as social, cultural and architectural spaces? The project adopts a comparative perspective. It asks how and in what contexts urbanites encounter or distance themselves from others; how they engage in the formation of social spaces across cityscapes; and how these cities are transformed by such practices. It presumes that the formation of urbanity is a dialectical process that is equally based on the agency of the actors; their perception and conception of urban space and their imagination of the so-cial, as well as on the structured social and material environment that is simultaneously shaped by them. At an empirical level, the project compares the formation of urbanity in four cities in the Global South: Goma, DR Congo; Cartagena de Indias, Colombia; Johannesburg, South Africa; and Yaoundé, Cameroon. Each case study identifies and juxtaposes settings that are more likely to produce distanciation and social dif-ference to processes that foster encounter and inclusion. Leisure and security are transversal themes that link all four case studies. At a practical level, the choice of ?eld sites is a selection of four cities, based on the pre-sumption that the formation of urbanity and urbanisation becomes more visible in an unbi-ased comparative perspective across different cultural and social backgrounds. Our choice also reflects feasibility of empirical research and the competences of the researchers. Long-term ?eld research is conducted by two senior scholars at the University of Basel, Profs. Till Förster and Manuel Herz, two postdoc researchers, Dr. des. Barbara Heer and Dr. Silke Oldenburg (partly funded by the SNSF), and two PhD students (funded by SNSF) conjointly with partners and MA students from Basel and our partner institutions. The ?ndings will con-tribute to an understanding of urbanity and urbanisation in these cities and serve as basis for further comparisons and analyses. At a general comparative level the project aims at elaborating a balanced understanding of urbanity and urbanisation and contributes to general debates in urban studies on how to frame the urban and its speci?c sociality. Final-ly, it will lead to a deeper theorization of ur-banity and the formation of urban space in general. The project is based on the interdiscipli-nary conceptual work in the ?eld by the senior scholars and the two postdoc researchers. It is a building block of the new Urban Studies pro-gram at the University of Basel. The three new chairs of the new program will become mem-bers of the advisory board and are expected to engage in the theoretical debates about the ?ndings of this project within the framework of an interdisciplinary research group. The project will be relevant to social scientists, architects, and urban planners as it gener-ates an analytical framework that goes beyond the current pre-occupation with the de?ciency of cities in the Global South and enables re-searchers to address questions of urban change from an empirical and comparative perspec-tive. Main partner institutions are the African Centre for Cities, Cape Town, and research partners in the respective countries","Urbanisation, Comparative Urbanism, Global South, Agency, Urbanity",external_funding,Completed,3490218,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Conen, Franz","Zimmermann, Lukas",Departement Umweltwissenschaften / Umweltgeowissenschaften (Alewell),Radon ICOS-CH,2016,"Project inserted in the frame of the ICOS-CH infrastructure (Integrated Carbon Observation System- the Swiss contribution to a European Research Infrastructure) Cooperation: ANSTO Atmospheric Mixing  (Australian Nuclear Science and Technology Organisation) Radon-222 is naturally emitted from land surfaces. The only sink of this noble gas in the atmosphere is radioactive decay. Its half-life of 3.8 days provides for large concentration differences between the planetary boundary layer and free tropospheric air, making it a good tracer for recent land contact of air masses sampled at the high altitude observatory Jungfraujoch. Through this project we provide daily updated radon-222 concentrations for Jungfraujoch (3454 m a.s.l.) and for Bern (575 m a.s.l.), located 60 km to the NW of Jungfraujoch. Earlier results of the project include the characterisation (mapping) of radon-222 flux in Europe, the USA and Russia.",NA,external_funding,Completed,3602471,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Lengwiler, Martin; Bänziger, Peter-Paul","Bänziger, Peter-Paul",Departement Geschichte / Bereich Neuere und Neueste Geschichte; Departement Geschichte / Neuere Allgemeine Geschichte (Lengwiler),"Disentangling European HIV/AIDS Policies: Activism, Citizenship and Health (EUROPACH)",2016,"Through the lens of the HIV/AIDS epidemic, EUROPACH will explore how the past is mobilised in the unfolding of activism, health policy and citizenship in Europe. As transnational health-governing bodies seek to integrate a fortified biomedical approach into local structures of care and prevention, the project asks how the past has come to shape these structures so as to enable a reflexive and situated approach to the future. By analysing the discourses and practices that make up HIV/AIDS policy worlds in Germany, Poland, Turkey, the UK, and at the European level, EUROPACH aims to describe the varied citizenship claims (in terms of entitlements and responsibilities) that emerge across shifting notions of Europe. Researchers will unpack the logics of policy discourses and disentangle the transnational histories that have been involved in the co-production of these policy assemblages, and develop a corresponding interactive map to be housed on the project's website. They will also record interviews with long-term activists and ersons living with HIV or AIDS, which will provide a foundation for a new European HIV/AIDS oral history archive. Ethnographic research conducted in spaces of policy development and negotiation, combined with analyses of art works engaging with the epidemic, will be used to situate citizenship models in their temporal trajectories, and then to scrutinize them - in close discussion with the project's 14 non-academic partners - for insights as to possibilities for the future. In accounting for the multiplicity and entanglements of histories that coexist in contemporary citizenship frameworks at the nexus of sexuality, health and the body, EUROPACH aims to provide support for mapping out the dynamics of integrating local communities, contexts and histories into European structures and praxes of citizenship.","HIV/AIDS, Europe, citizenship, activism, health",external_funding,Completed,3605192,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Brancher, Dominique",NA,Departement Sprach- und Literaturwissenschaften / Ältere franz. Literaturwissenschaft (Brancher),"Communications. L'échange entre l'homme, l'animal et la plante dans l'Europe de la première Modernité",2016,"Ce projet entend examiner les relations entre trois termes : homme, animal et plante, que l'histoire culturelle s'est longtemps contentee d'analyser de maniere duelle en privilegiant le couple homme-animal. Dans l'Europe de la premiere Modernite, des representations discursives sensibles aux interactions dynamiques entre ces trois communautes en ont construit une histoire partagee. L'etudier c'est renouer avec le sens premier du terme « communication », qui entre au debut du XIVe siecle dans la langue francaise avec le sens general de « maniere d'etre ensemble », avant de prendre ses acceptions modernes. En effet, et c'est le postulat central du projet, la reflexion sur les communications ontologiques qui brouillent les frontieres entre les especes fut a cette epoque indissociable de la question de la communication - au sens interdiscursif du terme - entre leurs membres. C'est pourquoi notre approche associe etroitement ces deux poles. Tout en mobilisant au premier chef les outils de l'analyse litteraire et de la theorie critique, le projet s'inscrit egalement dans l'anthropologie culturelle et l'histoire des sciences, l'ethnologie et d'autres disciplines encore, car l'interrogation theorique des frontieres ontologiques implique des aspects geographiques (en particulier pour le corpus des recits de voyage), linguistiques (latin vs vernaculaire), formels et generiques, a un moment ou les poetiques ne sont pas encore completement stabilisees - interdisciplinarite d'autant necessaire que les savoirs « scientifiques » de l'epoque s'integrent a des regimes d'ecriture tres differents des notres.Pour mesurer la complexite des echanges entre les regnes mais aussi entre les discours, tels qu'ils se deploient de la fin du XVe au second tiers du XVIIe siecle, on explorera un corpus pluridisciplinaire, marque par l'heterogeneite et des emprunts reciproques : production medicale, juridique et theologique, litterature agronomique et cynegetique, herbiers, recits de voyage, poesie de la nature, fictions romanesques, nouvelles, traites de poetique, etc. Les ouvrages, francais ou latins, publies en France, seront au cur du projet, enrichis d'incursions dans l'ensemble des litteratures europeennes.L'enquete, menee de maniere collective, comportera trois etudes de cas. (1) On examinera les scenes de rencontre entre homme et animal, et le role joue par la narration en langue francaise dans la construction de cette relation. (2) On etudiera les invocations a la plante, qui reconnaissent une personnalite au vegetal, et la survivance de ces usages magiques a la Renaissance, ou l'homme demeure encore un peu frere de la plante. (3) Enfin, on examinera la maniere dont le discours humain s'est modalise autour de references organiques aux trois formes humaine, animale et vegetale. Minant a leur tour les postulats d'un logos caracteristique de notre espece, ces reflexions offrent un exemple typique de cette relation a trois termes qui servira d'horizon a l'enquete.Celle-ci releve donc d'une archeologie de la pensee occidentale du vivant ; elle rejoint les courants actuels qui s'attachent a complexifier la grande Histoire de cette pensee, et elle entend souligner ses fondements litteraires, l'enjeu etant de reconstituer un modele oublie de reflexion sur la communaute entre humanite et autres formes de vie.",communication; poétique; classification; animal; végétal; histoire culturelle; humain; histoire des sciences; première Modernité,external_funding,Completed,3490240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bailer, Stefanie","Hug, Simon; Manow, Philip",Departement Gesellschaftswissenschaften / Politikwissenschaften (Bailer),Parliamentary Careers in Comparison,2016,"With the research project ""Parliamentary Careers in Comparison"" we propose to carry out an encompassing analysis of parliamentary candidates and parliamentarians and their activities in Switzerland and Germany as of 1949 until today. While parliamentary career research has often been rather descriptive, i.e. theoretically underspecified, confined to single countries, and/or non-dynamic, we aim to investigate biographical and behavioural data of parliamentary candidates and parliamentarians with partly novel tools (such as sequence analysis, see below) and over long periods of time in order to obtain a fuller and dynamic picture of parliamentary careers. Why is this of importance? Elections are the quintessential 'instrument of democracy' (Powell 2000). Running as a candidate, being endorsed by a party and then elected by voters, and subsequently re-running, being re-nominated and re-elected - or not - constitutes the most basic mechanism that secures political responsiveness and accountability in a representative democracy (Manin, Przeworski, &amp; Stokes 1999); see Figure 1, below. Within the party group the control of party leaders over the nomination process is also the most powerful tool to secure party discipline - and therefore one of the most important elements in the emergence of responsible government (Carey &amp; Shugart 1995; Cox 1987). Yet, despite its centrality we still lack a systematic, individual-level and dynamic understanding of the process of democratic delegation - and we therefore also lack in-depth information on how political careers impact parliamentary behaviour. This is partly explained by the scarcity of available data - in particular on episodes anterior and posterior to a spell in parliament. The project at hand aims to collect and analyse these data for two exemplary and in many respect similar cases, Switzerland and Germany, over a long period of time. We plan to analyse this data with respect to career dynamics, representative roles, parliamentary behaviour, democratic accountability and conformity with the party line. A first set of questions revolves around pre-parliamentary episodes. What are the various pre-parliamentary career paths (defined by party membership and political offices at the local/regional/national level) in Switzerland and Germany, and have they changed over time? To what extent are they dependent on the local, regional and national party? How can different pre-parliamentary career patterns be explained - are they a function of the personal preferences and characteristics of parliamentarians (e.g. gender, ambition, profession) or are they a function of the parties and the party systems, e.g. the regional structure of parties, their size, their local autonomy? With a second set of questions we investigate how political institutions influence careers. What are the effects of electoral rules (district magnitude, effective and legal thresholds, proportional vs. majoritarian rules) on careers? How do daily allowances and parliamentary pension schemes affect careers, what role does the interconnectedness of jurisdictional levels in federalist systems play? Do different degrees of 'institutionalisation' between militia and full-time parliaments lead to different career paths? Regarding post-parliamentary careers in Germany and Switzerland we will investigate whether and which individual and institutional factors drive the decision to retire, to continue the career or to seek higher public office or private employment after having served in parliament. A third strand of research questions will focus on the consequences of the different career paths on parliamentary behaviour and future post-parliamentary careers, in particular with respect to voting, committee membership, higher offices etc. We analyse whether MPs with career paths closely linked to a party follow the party line more faithfully and whether the parliamentary behaviour is reflected in the subsequent nomination process: Are loyal and active MPs rewarded and passive or dissenting MPs sanctioned with good (bad) list positions or promising and hopeless districts, respectively? What role do committee membership and chance to obtain higher offices (committee chair, chamber presidency, party group leadership, etc.) play? Moreover, we aim to compare pre-parliamentary career paths and the choice of post-parliamentary positions and see under which circumstances parliamentary service is a stepping or stumbling stone in a career. The project aims to provide a comprehensive and dynamic picture of the causes, courses and consequences of parliamentary careers in Switzerland and Germany. These two countries provide useful cases for comparison since they are both federalist countries but offer variation in important factors such as degree of parliamentary professionalization, electoral rules, orand the differing power of national parties.","parliament, career, parliamentarian",external_funding,Completed,3532378,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fehlmann, Bernhard",NA,Departement Psychologie / Cognitive Neuroscience (de Quervain),Eye tracking and episodic memory,2016,"Background: There is evidence that differences in attentional and emotional processes during encoding can influence memory performance substantially. Importantly, such differences affect eye movements and pupil dynamics, which can be measured by eye tracking. Whereas characteristics of ocular behaviour have been related to recognition memory, it is currently unknown if the same characteristics are also linked to free recall - an important form of memory in daily life. Moreover, it remains unclear if pupil dynamics, which are influenced by emotional arousal, are related to differences in emotional memory. Specific aims: 1) to extract the eye-tracking parameters at encoding and to specify their relevance for subsequent episodic memory performance. 2) to investigate the relations of eye movement measures with different retrieval forms of memory (i.e. recall vs. recognition). 3) to investigate to what extent the found relations depend on the emotional content of the stimulus material. 4) to investigate if pupil dynamics are related to the memory enhancing effects of emotional arousal. 5) to investigate the neural correlates of those eye movements and pupil dynamics that are related to memory measures by means of functional magnetic resonance imaging (fMRI).Material/Methods: Data are available from a paradigm, which combines eye-tracking measures at encoding with a free recall and a recognition task consisting of emotional stimuli of variable valence and arousal potential (taken from the international affective picture system, IAPS). Measures were collected during an ongoing large-scale imaging genetics study in Basel, Switzerland, providing a unique dataset for analysis. Besides behavioural and eye-tracking measurements, it comprises functional magnetic resonance imaging data of over 1500 healthy human subjects. Before the core analysis, pre-processing as well as exploratory work on the data will be conducted. Expected value of the proposed project: This project will explore the way of which movements and pupil dynamics during memory encoding are related to episodic memory functions and will examine the underlying neural correlates. The findings might have important implications for using eye measures as physiological phenotypes for memory and for testing novel therapeutic interventions.",attention; pupillometry; encoding; eye tracking; emotion; memory,external_funding,Completed,1477599,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hoch, Günter",NA,Departement Umweltwissenschaften / Physiological Plant Ecology (Kahmen),PlantHUB: ESR9 Hoch,2016,"Since horticultural LED technology evolves rapidly and becomes more and more economical, an increasing number of growth facilities are installing LED grow light as replacement for conventional HPS lamps. The large choice in LED systems and the option to dim individual channels in a multi- channel system results in an immense variety of different spectra to be used. This challenges the comparability of observations in plants grown in different LED indoor facilities, especially since a universally agreed-on standard spectrum for LED plant growth chambers is missing. In a new project that will be jointly led by plant physiologists at the University of Basel in Switzerland and LED experts at Heliospectra in Göteborg, Sweden, we aim to develop optimized setups for different LED systems to enable near-natural plant growth and a better comparability among different LED-based growth chambers.",NA,external_funding,Completed,3604493,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kahmen, Ansgar",NA,Departement Umweltwissenschaften / Physiological Plant Ecology (Kahmen),PlantHUB: ESR10 Kahmen,2016,Dynamic isotope model to trace the geographical origin of agricultural products.,NA,external_funding,Completed,3604494,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ward, Thomas R.",NA,Departement Chemie / Bioanorganische Chemie (Ward),DrEAM; Directed Evolution of Artificial Metalloenzymes for In Vivo Applications,2016,"In the past decade, artificial metalloenzymes (AMs) have emerged as an attractive alternative to the more traditional enzymes and homogeneous catalysts. Such hybrid catalysts result from the incorporation of an abiotic metal cofactor within a macromolecule (protein or oligonucleotide). Artificial metalloenzymes combine attractive features of both homogeneous catalysts and enzymes, including the possibility to genetically optimize the catalytic performance of new-to-nature organometallic reactions. Can artificial metalloenzymes become as catalytically efficient as naturally-evolved metalloenzymes, even in complex biological mixtures? Herein, we outline our efforts to address this challenge by localizing and evolving AMs within the periplasm of Escherichia coli.  To achieve this objective, we will exploit AMs based on the biotin-streptavidin technology. Four subprojects have been tailored to address the challenges: i) knock-out deleterious components present in the periplasm; ii) improve the cofactor uptake through the outer-membrane; iii) engineer streptavidin to boost the AM's performance; and iv) rely both on screening and selection strategies to evolve AMs in vivo. Relying on auxotrophs, we will demonstrate the potential of AMs to complement metabolic pathways. Only E. coli auxotrophs containing an evolved AM capable of producing the vital aminoacid-precursor will survive the stringent selection pressure. We have identified several selectable aminoacid precursors which can be produced by metathesis (indole, precursor of tryptophan), enone reduction (keto valine, precursor of valine) and allylic substitution (prephenate, precursor of tyrosine and phenylalanine). In a Darwinian evolution spirit, we anticipate that applying selection pressure will allow to evolve AMs to unprecedented catalytic performance. The main deliverable of the DrEAM is an engineered and evolvable E. coli strain capable of performing in vivo reaction cascades combining AMs and natural enzymes.",NA,external_funding,Active,3592032,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Scheiffele, Peter",NA,Departement Biozentrum / Cell Biology (Scheiffele),Alternative Splicing Codes for Synaptic Specificity,2016,"Neuronal networks represent an impressive example of highly organized complex systems. Sperry postulated that selective neuronal connectivity is achieved by chemoaffinity labels. Several such labels for axon guidance and topographic mapping have been defined. However, until recently, molecules that direct the recognition of synaptic partners and functional specification of synapses have remained obscure. Chemoaffinity tags are envisioned to provide a recognition code that would encompass the recognition of self versus non-self, recognition of sister cells, and recognition of appropriate and inappropriate synaptic partners.  Key parameters that determine the function of recognition systems are the diversity (number of independently recognizable tags), the repertoires of recognition tags in a cell population, and the contribution of tags to selective interactions. The finite number of protein-coding genes in the human genome severely limits the genetic resources that can be employed for generating molecular diversity. In this project we will test the hypothesis that alternative splicing is a central mechanism for the amplification of molecular diversity in recognition tags and their role in synaptic specificity. We will implement novel mass-spectrometry and sequencing methods to define molecular diversity of a highly diversified receptor family in mice. We will unravel the logic of receptor repertoires across cell populations and test the importance of cell type-specific alternative splicing programs for synaptic specificity.   The focus of this project on cell-type specific alternative splicing advances a new dimension in neuronal transcriptomics. Discoveries and technical innovations made in this work should be applicable to molecular studies of recognition events in any system. Finally, human genetic studies link mutations in the gene families explored here to autism. Thus, insights from this work will facilitate analysis of the pathophysiology of this disorder.",NA,external_funding,Active,3645198,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hauser, Peter C.","See, Hong Heng",Departement Chemie / Analytische Chemie (Hauser),Seed money project with selected Asian countries,2016,"In this project, a novel 'liquid-free' approach to electrophoresis will be investigated. The separation is to be carried out in a solid state material based on a heavily plasticized polymer such as cellulose acetate. This is to be cast as a film onto a filament, or to be contained in a capillary. The viscous and essentially non-volatile plasticizer acts as the solvent for the separation.",NA,external_funding,Active,3642705,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
